shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
5732461,443,0,0,VLSD-32,bellflag_uni_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":79}",
321847,590,0,0,VLSD-32,bellflag_uni_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":82}",
92842,604,0,0,VLSD-32,bellflag_uni_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":83}",
46039,1086,0,0,VLSD-32,bellflag_uni_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":178}",
55030,2699,0,0,VLSD-32,bellflag_uni_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":435}",
59048,4900,0,0,VLSD-32,bellflag_uni_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":933}",
48009,5654,0,0,VLSD-32,bellflag_uni_res30.005,"{""d"":3,""p"":0.005,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":1166}",
10000000,17,0,0,VLSD-32,bellflag_uni_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":612}",
2500238,570,0,0,VLSD-32,bellflag_uni_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":4587}",
286013,530,0,0,VLSD-32,bellflag_uni_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":2631}",
58176,771,0,0,VLSD-32,bellflag_uni_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":2999}",
54040,2495,0,0,VLSD-32,bellflag_uni_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":7762}",
47039,4250,0,0,VLSD-32,bellflag_uni_res50.004,"{""d"":5,""p"":0.004,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":12291}",
44803,7000,0,0,VLSD-32,bellflag_uni_res50.005,"{""d"":5,""p"":0.005,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":18257}",
15000000,1,0,0,VLSD-32,bellflag_uni_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":1815}",
4013950,152,0,0,VLSD-32,bellflag_uni_res70.0005,"{""d"":7,""p"":0.0005,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":17266}",
646343,345,0,0,VLSD-32,bellflag_uni_res70.001,"{""d"":7,""p"":0.001,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":15941}",
38529,317,0,0,VLSD-32,bellflag_uni_res70.002,"{""d"":7,""p"":0.002,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":6106}",
31210,1136,0,0,VLSD-32,bellflag_uni_res70.003,"{""d"":7,""p"":0.003,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":12863}",
33010,3357,0,0,VLSD-32,bellflag_uni_res70.004,"{""d"":7,""p"":0.004,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":22633}",
10000,1904,0,0,VLSD-32,bellflag_uni_res70.005,"{""d"":7,""p"":0.005,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":8700}",
14844950,0,0,0,VLSD-32,bellflag_uni_res90.0001,"{""d"":9,""p"":0.0001,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":2989}",
11174130,106,0,0,VLSD-32,bellflag_uni_res90.0005,"{""d"":9,""p"":0.0005,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":90503}",
983710,187,0,0,VLSD-32,bellflag_uni_res90.001,"{""d"":9,""p"":0.001,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":49132}",
38585,202,0,0,VLSD-32,bellflag_uni_res90.002,"{""d"":9,""p"":0.002,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":12774}",
18900,592,0,0,VLSD-32,bellflag_uni_res90.003,"{""d"":9,""p"":0.003,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":13809}",
17400,1872,0,0,VLSD-32,bellflag_uni_res90.004,"{""d"":9,""p"":0.004,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":16352}",
15300,3384,0,0,VLSD-32,bellflag_uni_res90.005,"{""d"":9,""p"":0.005,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":15197}",
12429290,0,0,0,VLSD-32,bellflag_uni_res110.0001,"{""d"":11,""p"":0.0001,""r"":11,""c"":""Bell Flagged"",""q"":181,""SELSD calls"":3848}",
10174040,32,0,0,VLSD-32,bellflag_uni_res110.0005,"{""d"":11,""p"":0.0005,""r"":11,""c"":""Bell Flagged"",""q"":181,""SELSD calls"":136583}",
2400740,199,0,0,VLSD-32,bellflag_uni_res110.001,"{""d"":11,""p"":0.001,""r"":11,""c"":""Bell Flagged"",""q"":181,""SELSD calls"":217981}",
45920,153,0,0,VLSD-32,bellflag_uni_res110.002,"{""d"":11,""p"":0.002,""r"":11,""c"":""Bell Flagged"",""q"":181,""SELSD calls"":25384}",
17790,526,0,0,VLSD-32,bellflag_uni_res110.003,"{""d"":11,""p"":0.003,""r"":11,""c"":""Bell Flagged"",""q"":181,""SELSD calls"":16617}",
