shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
43601,100,0,0,VLSD-32,midout_si_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
11008,108,0,0,VLSD-32,midout_si_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
10010,303,0,0,VLSD-32,midout_si_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
10010,568,0,0,VLSD-32,midout_si_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
10010,813,0,0,VLSD-32,midout_si_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":3}",
10010,1136,0,0,VLSD-32,midout_si_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":6}",
1890192,136,0,0,VLSD-32,midout_si_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":75}",
53385,100,0,0,VLSD-32,midout_si_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":48}",
13651,104,0,0,VLSD-32,midout_si_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":47}",
10010,286,0,0,VLSD-32,midout_si_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":188}",
10010,630,0,0,VLSD-32,midout_si_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":435}",
10010,1070,0,0,VLSD-32,midout_si_res50.004,"{""d"":5,""p"":0.004,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":788}",
15000000,317,0,0,VLSD-32,midout_si_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Midout"",""q"":43,""SELSD calls"":1591}",
