shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
260126,500,0,0,VLSD-32,midout_uni_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
57543,543,0,0,VLSD-32,midout_uni_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":0}",
50010,965,0,0,VLSD-32,midout_uni_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":2}",
27004,1062,0,0,VLSD-32,midout_uni_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":2}",
49008,2985,0,0,VLSD-32,midout_uni_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":1}",
50010,4106,0,0,VLSD-32,midout_uni_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":5}",
50000,5129,0,0,VLSD-32,midout_uni_res30.005,"{""d"":3,""p"":0.005,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":9}",
100000,12366,0,0,VLSD-32,midout_uni_res30.006,"{""d"":3,""p"":0.006,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":41}",
50000,7093,0,0,VLSD-32,midout_uni_res30.007,"{""d"":3,""p"":0.007,""r"":3,""c"":""Midout"",""q"":9,""SELSD calls"":29}",
4855902,194,0,0,VLSD-32,midout_uni_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":65}",
298415,230,0,0,VLSD-32,midout_uni_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":110}",
151416,480,0,0,VLSD-32,midout_uni_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":203}",
50591,687,0,0,VLSD-32,midout_uni_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":341}",
50010,1496,0,0,VLSD-32,midout_uni_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Midout"",""q"":23,""SELSD calls"":845}",
