shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
1845705,149,0,0,VLSD-32,superdense_si_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":21}",
46597,100,0,0,VLSD-32,superdense_si_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":18}",
15427,101,0,0,VLSD-32,superdense_si_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":14}",
10000,214,0,0,VLSD-32,superdense_si_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":27}",
10001,486,0,0,VLSD-32,superdense_si_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":53}",
10000,767,0,0,VLSD-32,superdense_si_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":87}",
10000000,48,0,0,VLSD-32,superdense_si_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":784}",
279074,100,0,0,VLSD-32,superdense_si_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":617}",
36846,100,0,0,VLSD-32,superdense_si_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":397}",
10000,167,0,0,VLSD-32,superdense_si_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":545}",
10000,562,0,0,VLSD-32,superdense_si_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":1383}",
10000,1107,0,0,VLSD-32,superdense_si_res50.004,"{""d"":5,""p"":0.004,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":2606}",
10000000,5,0,0,VLSD-32,superdense_si_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":1519}",
1372979,106,0,0,VLSD-32,superdense_si_res70.0005,"{""d"":7,""p"":0.0005,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":7088}",
98113,100,0,0,VLSD-32,superdense_si_res70.001,"{""d"":7,""p"":0.001,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":2841}",
10048,148,0,0,VLSD-32,superdense_si_res70.002,"{""d"":7,""p"":0.002,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":1760}",
10000,570,0,0,VLSD-32,superdense_si_res70.003,"{""d"":7,""p"":0.003,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":4490}",
10000,1487,0,0,VLSD-32,superdense_si_res70.004,"{""d"":7,""p"":0.004,""r"":7,""c"":""Superdense"",""q"":73,""SELSD calls"":7134}",
12590150,0,0,0,VLSD-32,superdense_si_res90.0001,"{""d"":9,""p"":0.0001,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":3093}",
7931880,148,0,0,VLSD-32,superdense_si_res90.0005,"{""d"":9,""p"":0.0005,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":75382}",
417590,136,0,0,VLSD-32,superdense_si_res90.001,"{""d"":9,""p"":0.001,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":24461}",
10739,115,0,0,VLSD-32,superdense_si_res90.002,"{""d"":9,""p"":0.002,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":4090}",
10000,602,0,0,VLSD-32,superdense_si_res90.003,"{""d"":9,""p"":0.003,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":7804}",
10000,1763,0,0,VLSD-32,superdense_si_res90.004,"{""d"":9,""p"":0.004,""r"":9,""c"":""Superdense"",""q"":121,""SELSD calls"":9590}",
27211360,0,0,0,VLSD-32,superdense_si_res110.0001,"{""d"":11,""p"":0.0001,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":10281}",
12028820,62,0,0,VLSD-32,superdense_si_res110.0005,"{""d"":11,""p"":0.0005,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":188074}",
2430120,390,0,0,VLSD-32,superdense_si_res110.001,"{""d"":11,""p"":0.001,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":257292}",
19040,148,0,0,VLSD-32,superdense_si_res110.002,"{""d"":11,""p"":0.002,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":11648}",
17133,1085,0,0,VLSD-32,superdense_si_res110.003,"{""d"":11,""p"":0.003,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":16341}",
16814,3539,0,0,VLSD-32,superdense_si_res110.004,"{""d"":11,""p"":0.004,""r"":11,""c"":""Superdense"",""q"":181,""SELSD calls"":16781}",
