shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
4982075,257,0,0,SEBPLSD,superdense_uni_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":51}",
369999,500,0,0,SEBPLSD,superdense_uni_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":47}",
94623,500,0,0,SEBPLSD,superdense_uni_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":52}",
50098,986,0,0,SEBPLSD,superdense_uni_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":72}",
50090,2001,0,0,SEBPLSD,superdense_uni_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":147}",
50090,3187,0,0,SEBPLSD,superdense_uni_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":196}",
50070,4452,0,0,SEBPLSD,superdense_uni_res30.005,"{""d"":3,""p"":0.005,""r"":3,""c"":""Superdense"",""q"":13,""SELSD calls"":264}",
10000000,40,0,0,SEBPLSD,superdense_uni_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":540}",
2417032,500,0,0,SEBPLSD,superdense_uni_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":3332}",
314112,500,0,0,SEBPLSD,superdense_uni_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":2077}",
52319,606,0,0,SEBPLSD,superdense_uni_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":1701}",
50074,1806,0,0,SEBPLSD,superdense_uni_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Superdense"",""q"":37,""SELSD calls"":4443}",
