shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
1447062,500,0,0,VLSD-32,triopt_uni_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":0}",
196447,500,0,0,VLSD-32,triopt_uni_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":5}",
77619,502,0,0,VLSD-32,triopt_uni_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":8}",
50072,848,0,0,VLSD-32,triopt_uni_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":39}",
50040,1744,0,0,VLSD-32,triopt_uni_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":95}",
50010,2727,0,0,VLSD-32,triopt_uni_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":165}",
50008,3818,0,0,VLSD-32,triopt_uni_res30.005,"{""d"":3,""p"":0.005,""r"":3,""c"":""Tri-optimal"",""q"":13,""SELSD calls"":218}",
10000000,79,0,0,VLSD-32,triopt_uni_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":305}",
1875787,500,0,0,VLSD-32,triopt_uni_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":1536}",
347885,500,0,0,VLSD-32,triopt_uni_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":1319}",
65137,533,0,0,VLSD-32,triopt_uni_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":1249}",
50032,1115,0,0,VLSD-32,triopt_uni_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":2316}",
50011,2405,0,0,VLSD-32,triopt_uni_res50.004,"{""d"":5,""p"":0.004,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":4620}",
50020,3996,0,0,VLSD-32,triopt_uni_res50.005,"{""d"":5,""p"":0.005,""r"":5,""c"":""Tri-optimal"",""q"":37,""SELSD calls"":7458}",
10000000,10,0,0,VLSD-32,triopt_uni_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":608}",
4883932,231,0,0,VLSD-32,triopt_uni_res70.0005,"{""d"":7,""p"":0.0005,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":9394}",
1333969,496,0,0,VLSD-32,triopt_uni_res70.001,"{""d"":7,""p"":0.001,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":13279}",
141807,500,0,0,VLSD-32,triopt_uni_res70.002,"{""d"":7,""p"":0.002,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":7963}",
50471,777,0,0,VLSD-32,triopt_uni_res70.003,"{""d"":7,""p"":0.003,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":7846}",
50010,2003,0,0,VLSD-32,triopt_uni_res70.004,"{""d"":7,""p"":0.004,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":15010}",
50006,4147,0,0,VLSD-32,triopt_uni_res70.005,"{""d"":7,""p"":0.005,""r"":7,""c"":""Tri-optimal"",""q"":73,""SELSD calls"":23586}",
10000000,0,0,0,VLSD-32,triopt_uni_res90.0001,"{""d"":9,""p"":0.0001,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":1008}",
10505280,99,0,0,VLSD-32,triopt_uni_res90.0005,"{""d"":9,""p"":0.0005,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":35955}",
2076417,182,0,0,VLSD-32,triopt_uni_res90.001,"{""d"":9,""p"":0.001,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":38297}",
148968,288,0,0,VLSD-32,triopt_uni_res90.002,"{""d"":9,""p"":0.002,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":16849}",
47722,504,0,0,VLSD-32,triopt_uni_res90.003,"{""d"":9,""p"":0.003,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":15142}",
40890,1467,0,0,VLSD-32,triopt_uni_res90.004,"{""d"":9,""p"":0.004,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":23672}",
48040,4077,0,0,VLSD-32,triopt_uni_res90.005,"{""d"":9,""p"":0.005,""r"":9,""c"":""Tri-optimal"",""q"":121,""SELSD calls"":38367}",
11151520,0,0,0,VLSD-32,triopt_uni_res110.0001,"{""d"":11,""p"":0.0001,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":1774}",
10381900,33,0,0,VLSD-32,triopt_uni_res110.0005,"{""d"":11,""p"":0.0005,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":33140}",
2419060,101,0,0,VLSD-32,triopt_uni_res110.001,"{""d"":11,""p"":0.001,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":47820}",
177262,193,0,0,VLSD-32,triopt_uni_res110.002,"{""d"":11,""p"":0.002,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":35620}",
29203,229,0,0,VLSD-32,triopt_uni_res110.003,"{""d"":11,""p"":0.003,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":15306}",
24100,820,0,0,VLSD-32,triopt_uni_res110.004,"{""d"":11,""p"":0.004,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":19938}",
23920,2080,0,0,VLSD-32,triopt_uni_res110.005,"{""d"":11,""p"":0.005,""r"":11,""c"":""Tri-optimal"",""q"":181,""SELSD calls"":22910}",
14525290,0,0,0,VLSD-64,triopt_uni_res130.0001,"{""d"":13,""p"":0.0001,""r"":13,""c"":""Tri-optimal"",""q"":253,""SELSD calls"":3389}",
